catchment,site,id,type,rank,date,total_capacity,production,liquid_capacity,cake_capacity
KNOSTROP/STW,ABERFORD/STW,1,STW,1,06/07/2020,0.194,0.122608,0,0
YORK NABURN/STW,ACKLAM/STW,2,STW,1,06/07/2020,0.004,0.002528,0,0
KNOSTROP/STW,ACKWORTH/STW,3,STW,1,06/07/2020,1.242,0.784944,0,0
HULL/STW,ACORNS BACK LN/STW,4,STW,1,06/07/2020,0.02,0.01264,0,0
ALDWARKE/STW,ADWICK/STW,5,STF/T,2,06/07/2020,2.862,1.431,1,0
KNOSTROP/STW,AIREDALE/STW,6,STW,1,06/07/2020,0.596,0.376672,0,0
SANDALL/STW,AIRMYN/STW,7,STW,1,06/07/2020,0.068,0.042976,0,0
BRADFORD ESHOLT/NO 2 STW,AIRTON/NO 2 STW,8,STW,1,06/07/2020,0.036,0.022752,0,0
HULL/STW,ALDBROUGH/STW,9,STW,1,06/07/2020,0.202,0.127664,0,0
BRADFORD ESHOLT/NO 2 STW,ALDFIELD/STW,10,STW,1,06/07/2020,0.008,0.005056,0,0
BRADFORD ESHOLT/NO 2 STW,ALDWARK BAY HORSE/2 STW,11,STW,1,06/07/2020,0.02,0.01264,0,0
BRADFORD ESHOLT/NO 2 STW,ALDWARK BOAT CLUB/STW,12,STW,1,06/07/2020,0.02,0.01264,0,0
ALDWARKE/STW,ALDWARKE/STW,13,STC,4,06/07/2020,14.5,7.372,4.65,0
YORK NABURN/STW,AMPLEFORTH VILLAGE/STW,14,STW,1,06/07/2020,0.1,0.0632,0,0
BRADFORD ESHOLT/NO 2 STW,APPERSETT/STW,15,STW,1,06/07/2020,0.008,0.005056,0,0
YORK NABURN/STW,APPLETON LE MOOR/STW,16,STW,1,06/07/2020,0.022,0.013904,0,0
BRADFORD ESHOLT/NO 2 STW,APPLETON WISKE/STW,17,STW,1,06/07/2020,0.06,0.03792,0,0
BRADFORD ESHOLT/NO 2 STW,APPLETREEWICK/STW,18,STW,1,06/07/2020,0.014,0.008848,0,0
BRADFORD ESHOLT/NO 2 STW,ARRATHORNE/STW,19,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,ASENBY/STW,20,STW,1,06/07/2020,0.042,0.026544,0,0
YORK NABURN/STW,ASKHAM BRYAN/STW,21,STW,1,06/07/2020,0.23,0.14536,0,0
BRADFORD ESHOLT/NO 2 STW,ASKRIGG/STW,22,STW,1,06/07/2020,0.072,0.045504,0,0
KNOSTROP/STW,ASSELBY/STW,23,STW,1,06/07/2020,0.02,0.01264,0,0
BLACKBURN MEADOWS/STW,ASTWITH/STW,24,STW,1,06/07/2020,0.006,0.003792,0,0
BRIDLINGTON/STW,ATWICK/NO 2 STW,25,STW,1,06/07/2020,0.036,0.022752,0,0
BRADFORD ESHOLT/NO 2 STW,AYSGARTH FALLS/STW,26,STW,1,06/07/2020,0.004,0.002528,0,0
BRADFORD ESHOLT/NO 2 STW,AYSGARTH/STW,27,STW,1,06/07/2020,0.024,0.015168,0,0
BRADFORD ESHOLT/NO 2 STW,BAGBY/STW,28,STW,1,06/07/2020,0.068,0.042976,0,0
BRADFORD ESHOLT/NO 2 STW,BAINBRIDGE/STW,29,STW,1,06/07/2020,0.058,0.036656,0,0
SANDALL/STW,BALBY/STW,30,STF/T,2,06/07/2020,2.08,1.04,1,0
BRADFORD ESHOLT/NO 2 STW,BALDERSBY ST JAMES/STW,31,STW,1,06/07/2020,0.02,0.01264,0,0
BRADFORD ESHOLT/NO 2 STW,BALDERSBY/STW,32,STW,1,06/07/2020,0.028,0.017696,0,0
YORK NABURN/STW,BARLBY/STW,33,STW,1,06/07/2020,1.134,0.716688,0,0
OLD WHITTINGTON/STW,BARLOW/STW,34,STW,1,06/07/2020,0.12,0.07584,0,0
KNOSTROP/STW,BARMBY BANKFIELD/STW,35,STW,1,06/07/2020,0.03,0.01896,0,0
KNOSTROP/STW,BARNBURGH/STW,36,STW,1,06/07/2020,0.014,0.008848,0,0
DEWSBURY/STW,BARR LANE/STW,37,STW,1,06/07/2020,0.006,0.003792,0,0
HUDDERSFIELD/NO 2 STF,BARSEY GREEN/STW,38,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,BARTON LE WILLOW/STW,39,STW,1,06/07/2020,0.022,0.013904,0,0
CALDER VALE/STW,BARWICK IN ELMET/STW,40,STW,1,06/07/2020,0.472,0.298304,0,0
BRADFORD ESHOLT/NO 2 STW,BEAMSLEY/STW,41,STW,1,06/07/2020,0.024,0.015168,0,0
