catchment,site,id,type,rank,date,total_capacity,production,liquid_capacity,cake_capacity
YORK NABURN/STW,ACKLAM/STW,2,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,AMPLEFORTH VILLAGE/STW,14,STW,1,06/07/2020,0.1,0.0632,0,0
YORK NABURN/STW,APPLETON LE MOOR/STW,16,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,ASKHAM BRYAN/STW,21,STW,1,06/07/2020,0.23,0.14536,0,0
YORK NABURN/STW,BARLBY/STW,33,STW,1,06/07/2020,1.134,0.716688,0,0
YORK NABURN/STW,BARTON LE WILLOW/STW,39,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,BEVERLEY ROAD NORTON/STW,51,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,BISHOP WILTON/STW,55,STW,1,06/07/2020,0.062,0.039184,0,0
YORK NABURN/STW,BOTTON/STW,64,STW,1,06/07/2020,0.042,0.026544,0,0
YORK NABURN/STW,BRANDESBURTON/STW,66,STW,1,06/07/2020,0.322,0.203504,0,0
YORK NABURN/STW,BRANDSBY/STW,67,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,BUBWITH/STW,76,STW,1,06/07/2020,0.138,0.087216,0,0
YORK NABURN/STW,BUGTHORPE/STW,78,STW,1,06/07/2020,0.012,0.007584,0,0
YORK NABURN/STW,BURLEY IN WHARFEDALE/STW,79,STW,1,06/07/2020,1.722,1.088304,0,0
YORK NABURN/STW,BUTTERCRAMBE/STW,89,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CADEBY/STW,90,STW,1,06/07/2020,0.028,0.017696,0,0
YORK NABURN/STW,CLAXTON/STW,113,STW,1,06/07/2020,0.026,0.016432,0,0
YORK NABURN/STW,COMMONDALE/STW,120,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,CONEYSTHORPE/STW,121,STW,1,06/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,COXWOLD/STW,130,STW,1,06/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,CRAMBE/STW,132,STW,1,06/07/2020,0.002,0.001264,0,0
YORK NABURN/STW,CRAMBECK VILLAGE/STW,133,STW,1,06/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,CRAYKE/STW,135,STW,1,06/07/2020,0.056,0.035392,0,0
YORK NABURN/STW,DANBY/STW,143,STW,1,06/07/2020,0.132,0.083424,0,0
YORK NABURN/STW,DEIGHTON GROVE/STW,149,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,DISHFORTH/STW,153,STW,1,06/07/2020,0.088,0.055616,0,0
YORK NABURN/STW,DUGGLEBY/STW,160,STW,1,06/07/2020,0.024,0.015168,0,0
YORK NABURN/STW,EASINGWOLD/STW,166,STW,1,06/07/2020,0.79,0.49928,0,0
YORK NABURN/STW,EAST BARNBY/STW,167,STW,1,06/07/2020,0.01,0.00632,0,0
YORK NABURN/STW,EGGBOROUGH/STW,176,STW,1,06/07/2020,0.77,0.48664,0,0
YORK NABURN/STW,EGTON BRIDGE/STW,177,STW,1,06/07/2020,0.048,0.030336,0,0
YORK NABURN/STW,ELLERTON/STW,180,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,ELVINGTON/STW,182,STW,1,06/07/2020,0.172,0.108704,0,0
YORK NABURN/STW,ELVINGTON/WTW STW,183,STW,1,06/07/2020,0.02,0.01264,0,0
YORK NABURN/STW,ESCRICK/STW,185,STW,1,06/07/2020,0.236,0.149152,0,0
YORK NABURN/STW,FARLINGTON/STW,187,STW,1,06/07/2020,0.006,0.003792,0,0
YORK NABURN/STW,FIRBY/STW,192,STW,1,06/07/2020,0.004,0.002528,0,0
YORK NABURN/STW,FLASK INN/STW,195,STW,1,06/07/2020,0.042,0.026544,0,0
YORK NABURN/STW,FLAXTON/STW,197,STW,1,06/07/2020,0.034,0.021488,0,0
YORK NABURN/STW,FOSTON/STW,201,STW,1,06/07/2020,0.05,0.0316,0,0
YORK NABURN/STW,FRIDAYTHORPE/STW,204,STW,1,06/07/2020,0.044,0.027808,0,0
YORK NABURN/STW,GANTON/STW,205,STW,1,06/07/2020,0.022,0.013904,0,0
YORK NABURN/STW,GILLAMOOR/STW,212,STW,1,06/07/2020,0.032,0.020224,0,0
YORK NABURN/STW,GILLING EAST/STW,213,STW,1,06/07/2020,0.036,0.022752,0,0
YORK NABURN/STW,GLAISDALE/STW,215,STW,1,06/07/2020,0.06,0.03792,0,0
