catchment,site,id,type,rank,total_capacity,production,liquid_capacity,cake_capacity,total_imports
KNOSTROP/STW,ABERFORD/STW,1,STW,1,0.194,0.097,0,0,0
YORK NABURN/STW,ACKLAM/STW,2,STW,1,0.004,0.002,0,0,0
KNOSTROP/STW,ACKWORTH/STW,3,STW,1,1.242,0.621,0,0,0
HULL/STW,ACORNS BACK LN/STW,4,STW,1,0.02,0.01,0,0,0
ALDWARKE/STW,ADWICK/STW,5,STF/T,2,2.862,1.431,1,0,1.431
KNOSTROP/STW,AIREDALE/STW,6,STW,1,0.596,0.298,0,0,0
SANDALL/STW,AIRMYN/STW,7,STW,1,0.068,0.034,0,0,0
BRADFORD ESHOLT/NO 2 STW,AIRTON/NO 2 STW,8,STW,1,0.036,0.018,0,0,0
HULL/STW,ALDBROUGH/STW,9,STW,1,0.202,0.101,0,0,0
BRADFORD ESHOLT/NO 2 STW,ALDFIELD/STW,10,STW,1,0.008,0.004,0,0,0
BRADFORD ESHOLT/NO 2 STW,ALDWARK BAY HORSE/2 STW,11,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,ALDWARK BOAT CLUB/STW,12,STW,1,0.02,0.01,0,0,0
ALDWARKE/STW,ALDWARKE/STW,13,STC,4,14.5,7.372,4.65,0,7.128
YORK NABURN/STW,AMPLEFORTH VILLAGE/STW,14,STW,1,0.1,0.05,0,0,0
BRADFORD ESHOLT/NO 2 STW,APPERSETT/STW,15,STW,1,0.008,0.004,0,0,0
YORK NABURN/STW,APPLETON LE MOOR/STW,16,STW,1,0.022,0.011,0,0,0
BRADFORD ESHOLT/NO 2 STW,APPLETON WISKE/STW,17,STW,1,0.06,0.03,0,0,0
BRADFORD ESHOLT/NO 2 STW,APPLETREEWICK/STW,18,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,ARRATHORNE/STW,19,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,ASENBY/STW,20,STW,1,0.042,0.021,0,0,0
YORK NABURN/STW,ASKHAM BRYAN/STW,21,STW,1,0.23,0.115,0,0,0
BRADFORD ESHOLT/NO 2 STW,ASKRIGG/STW,22,STW,1,0.072,0.036,0,0,0
